Time 1-10.45.14.48-10.100.1.205 Aggregate-Flow
1.440000 0.000426 0.000426
1.450000 0.000426 0.000426
1.460000 0.000421 0.000421
1.470000 0.000428 0.000428
1.480000 0.000425 0.000425
1.490000 0.000433 0.000433
1.500000 0.000429 0.000429
1.510000 0.000432 0.000432
1.520000 0.000424 0.000424
1.530000 0.000437 0.000437
1.540000 0.000423 0.000423
1.550000 0.000429 0.000429
1.560000 0.000425 0.000425
1.570000 0.000421 0.000421
1.580000 0.000431 0.000431
1.590000 0.000412 0.000412
1.600000 0.000430 0.000430
1.610000 0.000429 0.000429
1.620000 0.000437 0.000437
1.630000 0.000427 0.000427
1.640000 0.000433 0.000433
1.650000 0.000435 0.000435
1.660000 0.000431 0.000431
1.670000 0.000432 0.000432
1.680000 0.000429 0.000429
1.690000 0.000438 0.000438
1.700000 0.000438 0.000438
1.710000 0.000432 0.000432
1.720000 0.000431 0.000431
1.730000 0.000434 0.000434
1.740000 0.000418 0.000418
1.750000 0.000438 0.000438
1.760000 0.000430 0.000430
1.770000 0.000426 0.000426
1.780000 0.000433 0.000433
1.790000 0.000417 0.000417
1.800000 0.000427 0.000427
1.810000 0.000422 0.000422
1.820000 0.000430 0.000430
1.830000 0.000434 0.000434
1.840000 0.000423 0.000423
1.850000 0.000430 0.000430
1.860000 0.000445 0.000445
1.870000 0.000426 0.000426
1.880000 0.000439 0.000439
1.890000 0.000433 0.000433
1.900000 0.000421 0.000421
1.910000 0.000435 0.000435
1.920000 0.000422 0.000422
1.930000 0.000433 0.000433
1.940000 0.000440 0.000440
1.950000 0.000418 0.000418
1.960000 0.000427 0.000427
1.970000 0.000434 0.000434
1.980000 0.000433 0.000433
1.990000 0.000476 0.000476
2.000000 0.000416 0.000416
2.010000 0.000411 0.000411
2.020000 0.000421 0.000421
2.030000 0.000414 0.000414
2.040000 0.000432 0.000432
2.050000 0.000424 0.000424
2.060000 0.000423 0.000423
2.070000 0.000435 0.000435
2.080000 0.000446 0.000446
2.090000 0.000455 0.000455
2.100000 0.000421 0.000421
2.110000 0.000424 0.000424
2.120000 0.000413 0.000413
2.130000 0.000410 0.000410
2.140000 0.000427 0.000427
2.150000 0.000422 0.000422
2.160000 0.000441 0.000441
2.170000 0.000415 0.000415
2.180000 0.000435 0.000435
2.190000 0.000423 0.000423
2.200000 0.000434 0.000434
2.210000 0.000425 0.000425
2.220000 0.000427 0.000427
2.230000 0.000436 0.000436
2.240000 0.000423 0.000423
2.250000 0.000434 0.000434
2.260000 0.000419 0.000419
2.270000 0.000421 0.000421
2.280000 0.000425 0.000425
2.290000 0.000426 0.000426
2.300000 0.000421 0.000421
2.310000 0.000430 0.000430
2.320000 0.000433 0.000433
2.330000 0.000436 0.000436
2.340000 0.000444 0.000444
2.350000 0.000413 0.000413
2.360000 0.000459 0.000459
2.370000 0.000408 0.000408
2.380000 0.000424 0.000424
2.390000 0.000418 0.000418
2.400000 0.000414 0.000414
2.410000 0.000415 0.000415
2.420000 0.000408 0.000408
2.430000 0.000426 0.000426
2.440000 0.000404 0.000404
2.450000 0.000414 0.000414
2.460000 0.000409 0.000409
2.470000 0.000411 0.000411
2.480000 0.000414 0.000414
2.490000 0.000414 0.000414
2.500000 0.000409 0.000409
2.510000 0.000414 0.000414
2.520000 0.000411 0.000411
2.530000 0.000401 0.000401
2.540000 0.000406 0.000406
2.550000 0.000406 0.000406
2.560000 0.000407 0.000407
2.570000 0.000403 0.000403
2.580000 0.000406 0.000406
2.590000 0.000404 0.000404
2.600000 0.000409 0.000409
2.610000 0.000411 0.000411
2.620000 0.000401 0.000401
2.630000 0.000426 0.000426
2.640000 0.000406 0.000406
2.650000 0.000409 0.000409
2.660000 0.000410 0.000410
2.670000 0.000407 0.000407
2.680000 0.000415 0.000415
2.690000 0.000403 0.000403
2.700000 0.000414 0.000414
2.710000 0.000406 0.000406
2.720000 0.000405 0.000405
2.730000 0.000412 0.000412
2.740000 0.000401 0.000401
2.750000 0.000408 0.000408
2.760000 0.000416 0.000416
2.770000 0.000412 0.000412
2.780000 0.000424 0.000424
2.790000 0.000410 0.000410
2.800000 0.000415 0.000415
2.810000 0.000454 0.000454
2.820000 0.000414 0.000414
2.830000 0.000432 0.000432
2.840000 0.000443 0.000443
2.850000 0.000416 0.000416
2.860000 0.000422 0.000422
2.870000 0.000411 0.000411
2.880000 0.000421 0.000421
2.890000 0.000416 0.000416
2.900000 0.000415 0.000415
2.910000 0.000419 0.000419
2.920000 0.000414 0.000414
2.930000 0.000418 0.000418
2.940000 0.000428 0.000428
2.950000 0.000412 0.000412
2.960000 0.000421 0.000421
2.970000 0.000416 0.000416
2.980000 0.000424 0.000424
2.990000 0.000432 0.000432
3.000000 0.000425 0.000425
3.010000 0.000422 0.000422
3.020000 0.000424 0.000424
3.030000 0.000424 0.000424
3.040000 0.000429 0.000429
3.050000 0.000433 0.000433
3.060000 0.000427 0.000427
3.070000 0.000422 0.000422
3.080000 0.000449 0.000449
3.090000 0.000436 0.000436
3.100000 0.000425 0.000425
3.110000 0.000418 0.000418
3.120000 0.000423 0.000423
3.130000 0.000414 0.000414
3.140000 0.000417 0.000417
3.150000 0.000408 0.000408
3.160000 0.000415 0.000415
3.170000 0.000408 0.000408
3.180000 0.000414 0.000414
3.190000 0.000415 0.000415
3.200000 0.000415 0.000415
3.210000 0.000429 0.000429
3.220000 0.000410 0.000410
3.230000 0.000411 0.000411
3.240000 0.000413 0.000413
3.250000 0.000406 0.000406
3.260000 0.000429 0.000429
3.270000 0.000410 0.000410
3.280000 0.000409 0.000409
3.290000 0.000430 0.000430
3.300000 0.000418 0.000418
3.310000 0.000419 0.000419
3.320000 0.000420 0.000420
3.330000 0.000429 0.000429
3.340000 0.000434 0.000434
3.350000 0.000423 0.000423
3.360000 0.000447 0.000447
3.370000 0.000439 0.000439
3.380000 0.000424 0.000424
3.390000 0.000421 0.000421
3.400000 0.000418 0.000418
3.410000 0.000453 0.000453
3.420000 0.000430 0.000430
3.430000 0.000419 0.000419
3.440000 0.000424 0.000424
3.450000 0.000427 0.000427
3.460000 0.000427 0.000427
3.470000 0.000434 0.000434
3.480000 0.000420 0.000420
3.490000 0.000432 0.000432
3.500000 0.000429 0.000429
3.510000 0.000415 0.000415
3.520000 0.000426 0.000426
3.530000 0.000632 0.000632
3.540000 0.000512 0.000512
3.550000 0.000479 0.000479
3.560000 0.000474 0.000474
3.570000 0.000471 0.000471
3.580000 0.000471 0.000471
3.590000 0.000471 0.000471
3.600000 0.000469 0.000469
3.610000 0.000464 0.000464
3.620000 0.000463 0.000463
3.630000 0.000490 0.000490
3.640000 0.000483 0.000483
3.650000 0.000478 0.000478
3.660000 0.000465 0.000465
3.670000 0.000478 0.000478
3.680000 0.000474 0.000474
3.690000 0.000466 0.000466
3.700000 0.000480 0.000480
3.710000 0.000472 0.000472
3.720000 0.000474 0.000474
3.730000 0.000476 0.000476
3.740000 0.000471 0.000471
3.750000 0.000466 0.000466
3.760000 0.000456 0.000456
3.770000 0.000472 0.000472
3.780000 0.000479 0.000479
3.790000 0.000473 0.000473
3.800000 0.000469 0.000469
3.810000 0.000452 0.000452
3.820000 0.000463 0.000463
3.830000 0.000466 0.000466
3.840000 0.000459 0.000459
3.850000 0.000462 0.000462
3.860000 0.000465 0.000465
3.870000 0.000461 0.000461
3.880000 0.000458 0.000458
3.890000 0.000483 0.000483
3.900000 0.000461 0.000461
3.910000 0.000455 0.000455
3.920000 0.000457 0.000457
3.930000 0.000457 0.000457
3.940000 0.000454 0.000454
3.950000 0.000474 0.000474
3.960000 0.000466 0.000466
3.970000 0.000470 0.000470
3.980000 0.000475 0.000475
3.990000 0.000467 0.000467
4.000000 0.000514 0.000514
4.010000 0.000499 0.000499
4.020000 0.000467 0.000467
4.030000 0.000476 0.000476
4.040000 0.000466 0.000466
4.050000 0.000455 0.000455
4.060000 0.000460 0.000460
4.070000 0.000451 0.000451
4.080000 0.000497 0.000497
